Species_ID,Genus_ID,Model_ID,Family,Genus,Species,Common_Name,Group,Tribe,Native,PFG_Page,Sportfish,NonGame,Subsistence,Sensitivity,Rarity,Ubiquity,Extent,Tolerance,Robustness,Max_Age,Max_Length,Mean_Length,Mean_Weight,Girth_Index,WL_A,WL_B,Thinning,Thin_Adjustment,Estimated,Cave,Spring,Headwater,Creek,Small_River,Medium_River,Large_River,Lake_Impoundment,Swamp_Marsh,Coastal_Ocean,Riffles,Runs,Pools,Benthic,Surface,Nearshore_Littoral,OpenWater_Pelagic,Mud_Silt,Sand,Gravel,Rock_Rubble,Vegetation,Woody_Debris,Clear,Turbid,Warm,Cool,Cold,Lowlands,Uplands,Lower_Width,Upper_Width,Location_Notes,Habitat_Notes
939,168,-999,Cyprinidae,Rhinichthys,deaconi,Las Vegas Dace,Minnow,Dace,Y,206,0,1,0,U,10,0,0,0,0,4,7.5,2.775,0.09,0.22,0.00403,3.09,0.56,0,0,XXX,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,,
940,168,-999,Cyprinidae,Rhinichthys,evermanni,Umpqua Dace,Minnow,Dace,Y,208,0,1,0,U,3,0,0,0,0,4,11,4.07,0.31,0.22,0.00403,3.09,0.58,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,A,1,50,,
941,168,-999,Cyprinidae,Rhinichthys,falcatus,Leopard Dace,Minnow,Dace,Y,206,0,1,0,M,6,0,0,0,0,4,12,6,1.02,0.22,0.00403,3.09,0.59,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,50,,
942,168,432,Cyprinidae,Rhinichthys,obtusus,Western Blacknose Dace,Minnow,Dace,Y,205,0,1,0,U,3,21.1,17.6,12.1,16.1,4,8,2.96,0.12,0.22,0.00403,3.09,0.57,0,0,XXX,-999,A,A,A,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,25,,
943,168,433,Cyprinidae,Rhinichthys,osculus,Speckled Dace,Minnow,Dace,Y,205,0,1,0,M,1,23.3,19.8,72.7,31.2,4,11,4.07,0.31,0.22,0.00403,3.09,0.58,0,0,XXX,-999,A,A,A,A,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,50,,
944,168,-999,Cyprinidae,Rhinichthys,osculus klamathensis,Klamath Speckled Dace,Minnow,Dace,Y,206,0,1,0,U,5,0,0,0,0,4,11,6,1.02,0.22,0.00403,3.09,0.58,0,0,XXX,-999,A,A,A,A,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,50,,
945,168,-999,Cyprinidae,Rhinichthys,osculus robustus,Lahontan Speckled Dace,Minnow,Dace,Y,206,0,1,0,U,5,0,0,0,0,4,11,6,1.02,0.22,0.00403,3.09,0.58,0,0,XXX,-999,A,A,A,A,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,50,,
946,168,-999,Cyprinidae,Rhinichthys,sp.,Pahranagat Springs Dace,Minnow,Dace,Y,,0,1,0,U,8,0,0,0,0,4,11,6,1.02,0.22,0.00403,3.09,0.58,0,0,XXX,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,,
947,168,-999,Cyprinidae,Rhinichthys,sp.,Nooksack Dace,Minnow,Dace,Y,207,0,1,0,U,6,0,0,0,0,4,13,6,1.02,0.22,0.00403,3.09,0.58,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,A,1,50,,
948,168,-999,Cyprinidae,Rhinichthys,umatilla,Umatilla Dace,Minnow,Dace,Y,207,0,1,0,U,3,0,0,0,0,4,12,6,1.02,0.22,0.00403,3.09,0.59,0,0,XXX,-999,-999,-999,-999,-999,A,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,10000,,
949,169,-999,Gobiidae,Rhinogobius,brunneus,Amur Goby,Goby,Goby,N,,0,1,0,U,5,0,0,0,0,4,6,2.22,0.05,0.26,0.00465,3.07,0.5,0,1,XXX,-999,-999,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,10000,,
950,170,-999,Cyprinidae,Rhodeus,sericeus,Bitterling,Minnow,Other Minnow,N,155,0,1,0,U,5,0,0,0,0,4,11,4.5,0.44,0.22,0.00433,3.07,0.51,0,1,XXX,-999,-999,-999,A,A,A,A,A,-999,-999,-999,A,-999,-999,-999,-999,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,10000,,
951,171,434,Cyprinidae,Richardsonius,balteatus,Redside Shiner,Minnow,Shiner,Y,164,0,1,0,U,2,14.2,11.9,67.4,21.8,5,18,6.5,1.36,0.22,0.00433,3.07,0.54,0,1,XXX,-999,A,A,A,A,-999,A,-999,-999,-999,A,A,-999,-999,-999,-999,A,A,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,0,50,,
